timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1762264787631,574,Переход на главную страницу,200,OK,Thread Group 1-1,text,true,,82191,6235,1,1,http://localhost:8000/client/index.php,22,0,15
1762264787631,28,Переход на главную страницу-0,302,Found,Thread Group 1-1,text,true,,1148,628,1,1,http://localhost:8000/,22,0,15
1762264787663,23,Переход на главную страницу-1,200,OK,Thread Group 1-1,text,true,,5062,696,1,1,http://localhost:8000/client/index.php,23,0,0
1762264787787,6,Переход на главную страницу-2,200,OK,Thread Group 1-1,text,true,,6361,704,1,1,http://localhost:8000/client/css/normalize.css,6,0,2
1762264787787,5,Переход на главную страницу-3,200,OK,Thread Group 1-1,text,true,,9117,701,1,1,http://localhost:8000/client/css/styles.css,5,0,2
1762264787787,4,Переход на главную страницу-4,200,OK,Thread Group 1-1,text,true,,3699,698,1,1,http://localhost:8000/client/js/index.js,4,0,0
1762264787787,418,Переход на главную страницу-5,200,OK,Thread Group 1-1,text,true,,2016,714,1,1,"https://fonts.googleapis.com/css?family=Roboto:100,300,400,500,700,900&subset=cyrillic,cyrillic-ext,latin-ext",416,0,378
1762264787787,6,Переход на главную страницу-6,200,OK,Thread Group 1-1,bin,true,,18263,698,1,1,http://localhost:8000/img/posters/80.png,6,0,2
1762264787787,6,Переход на главную страницу-7,200,OK,Thread Group 1-1,bin,true,,18263,698,1,1,http://localhost:8000/img/posters/82.png,5,0,2
1762264787794,5,Переход на главную страницу-8,200,OK,Thread Group 1-1,bin,true,,18262,698,1,1,http://localhost:8000/img/posters/81.png,5,0,0
1762264789222,57,"Выбрать фильм, зал, время",200,OK,Thread Group 1-1,text,true,,8571,6135,1,1,http://localhost:8000/client/hall.php,10,0,0
1762264789222,10,"Выбрать фильм, зал, время-0",200,OK,Thread Group 1-1,text,true,,5062,696,1,1,http://localhost:8000/client/hall.php,10,0,0
1762264789243,4,"Выбрать фильм, зал, время-1",304,Not Modified,Thread Group 1-1,,true,,249,792,1,1,http://localhost:8000/client/css/normalize.css,0,0,0
1762264789243,4,"Выбрать фильм, зал, время-2",304,Not Modified,Thread Group 1-1,,true,,249,789,1,1,http://localhost:8000/client/css/styles.css,0,0,0
1762264789243,4,"Выбрать фильм, зал, время-3",304,Not Modified,Thread Group 1-1,,true,,248,785,1,1,http://localhost:8000/client/js/index.js,0,0,0
1762264789243,36,"Выбрать фильм, зал, время-4",200,OK,Thread Group 1-1,text,true,,2016,715,1,1,"https://fonts.googleapis.com/css?family=Roboto:100,300,400,500,700,900&subset=cyrillic,cyrillic-ext,latin-ext",36,0,0
1762264789243,4,"Выбрать фильм, зал, время-5",304,Not Modified,Thread Group 1-1,,true,,249,786,1,1,http://localhost:8000/img/posters/80.png,0,0,0
1762264789243,4,"Выбрать фильм, зал, время-6",304,Not Modified,Thread Group 1-1,,true,,249,786,1,1,http://localhost:8000/img/posters/82.png,0,0,0
1762264789248,3,"Выбрать фильм, зал, время-7",304,Not Modified,Thread Group 1-1,,true,,249,786,1,1,http://localhost:8000/img/posters/81.png,0,0,0
1762264790299,70,Забранировать место,200,OK,Thread Group 1-1,text,true,,8571,6138,1,1,http://localhost:8000/client/payment.php,13,0,0
1762264790299,13,Забранировать место-0,200,OK,Thread Group 1-1,text,true,,5062,699,1,1,http://localhost:8000/client/payment.php,13,0,0
1762264790325,4,Забранировать место-1,304,Not Modified,Thread Group 1-1,,true,,249,792,1,1,http://localhost:8000/client/css/normalize.css,0,0,0
1762264790325,4,Забранировать место-2,304,Not Modified,Thread Group 1-1,,true,,249,789,1,1,http://localhost:8000/client/css/styles.css,0,0,0
1762264790325,4,Забранировать место-3,304,Not Modified,Thread Group 1-1,,true,,248,785,1,1,http://localhost:8000/client/js/index.js,0,0,0
1762264790325,44,Забранировать место-4,200,OK,Thread Group 1-1,text,true,,2016,715,1,1,"https://fonts.googleapis.com/css?family=Roboto:100,300,400,500,700,900&subset=cyrillic,cyrillic-ext,latin-ext",43,0,0
1762264790325,4,Забранировать место-5,304,Not Modified,Thread Group 1-1,,true,,249,786,1,1,http://localhost:8000/img/posters/80.png,0,0,0
1762264790325,3,Забранировать место-6,304,Not Modified,Thread Group 1-1,,true,,249,786,1,1,http://localhost:8000/img/posters/82.png,0,0,0
1762264790329,2,Забранировать место-7,304,Not Modified,Thread Group 1-1,,true,,249,786,1,1,http://localhost:8000/img/posters/81.png,0,0,0
1762264791376,5,Получить QR-код для оплаты,200,OK,Thread Group 1-1,text,true,,338,709,1,1,http://localhost:8000/client/scripts/sale_save.php,5,0,0
1762264787553,706,Test,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-1,,true,,99671,19217,1,1,null,50,3124,15
